class_name
C-Rubble
Sand
BAD
Dark
Pavona
D_coral
Acropora
Algae
Monti
Porites
Astreo
Lepta
Rock
Favites
HS
Goniastrea
GFA
SC
Acr_tab
Acr_dig
Monti_encr
Pocill
Echinopora
Millepora
Platy
fav
Macro
CCA
Off
Porit
Turf
Fung
Monta
Pavon
Acrop
Favia
Stylo
Gardin
Mille
Acan
Herpo
Soft
Lepto
Cypha
Tuba
Sando
Lobo
Psam
SAND
PORIT
OFF
TURF
MACRO
MONTI
POCILL
MONTA
GARDIN
LEPTA
PAVON
ACROP
MILLE
SOFT
FUNG
PSAM
LOBO
FAVIA
CYPHA
ACAN
ASTREO
P. Rus
P. Irr
P mass
